placetotal,forename,name,nationality,start_no_text,club,sex,netto,brutto,splits
1,Kenenisa,Bekele,ETH,2,Äthiopien,M,02:01:41,02:01:41,"00:14:24,00:28:53,00:43:29,00:57:58,01:01:05,01:12:30,01:26:55,01:41:15,01:55:30"
2,Birhanu,Legese,ETH,5,Äthiopien,M,02:02:48,02:02:48,"00:14:25,00:28:53,00:43:29,00:57:58,01:01:05,01:12:30,01:26:53,01:41:02,01:56:00"
3,Sisay,Lemma,ETH,4,Äthiopien,M,02:03:36,02:03:36,"00:14:25,00:28:52,00:43:29,00:57:58,01:01:06,01:12:31,01:26:53,01:41:16,01:56:54"
4,Jonathan,Korir,KEN,7,Kenia,M,02:06:45,02:06:45,"00:14:25,00:28:53,00:43:30,00:57:58,01:01:06,01:12:31,01:27:42,01:43:39,01:59:49"
5,Felix,Kandie,KEN,6,Kenia,M,02:08:07,02:08:07,"00:14:43,00:29:30,00:44:19,00:59:06,01:02:20,01:14:04,01:28:58,01:44:10,02:00:27"
6,Yohanes,Gebregergish,ERI,8,Eritrea,M,02:08:26,02:08:26,"00:14:44,00:29:30,00:44:20,00:59:06,01:02:21,01:14:04,01:29:12,01:44:24,02:00:43"
7,Guojian,Dong,CHN,19,China,M,02:08:28,02:08:28,"00:14:44,00:29:30,00:44:24,00:59:18,01:02:34,01:14:32,01:29:58,01:45:26,02:01:22"
8,Bethwel,Yegon,KEN,10,,M,02:08:35,02:08:35,"00:14:43,00:29:30,00:44:20,00:59:07,01:02:21,01:14:12,01:29:38,01:45:02,02:01:12"
9,Kenta,Murayama,JPN,11,Asahi Kasei,M,02:08:56,02:08:56,"00:14:44,00:29:30,00:44:19,00:59:06,01:02:21,01:14:04,01:29:38,01:45:02,02:01:35"
10,Abel,Kipchumba,KEN,9,Kenia,M,02:09:39,02:09:39,"00:14:43,00:29:31,00:44:18,00:59:06,01:02:20,01:14:05,01:28:59,01:44:13,02:01:14"
11,Yuichi,Yasui,JPN,21,Toyota Long Distance Team,M,02:10:26,02:10:26,"00:15:24,00:30:46,00:46:21,01:01:51,01:05:19,01:17:33,01:32:57,01:48:06,02:03:48"
12,Peter,Herzog,AUT,48,Österreich,M,02:10:57,02:10:57,"00:15:39,00:31:05,00:46:39,01:02:05,01:05:30,01:17:45,01:33:27,01:48:50,02:04:13"
13,Yassine,El Faathaoui,ITA,122,PR436 Circolo Minerva ASD,M,02:11:08,02:11:08,"00:15:24,00:30:45,00:46:21,01:01:52,01:05:20,01:17:47,01:33:29,01:48:51,02:04:25"
14,Matt,Llano,USA,20,USA,M,02:11:14,02:11:14,"00:15:39,00:31:04,00:46:40,01:02:07,01:05:30,01:17:46,01:33:29,01:48:50,02:04:26"
15,David,Nilsson,SWE,32,Schweden,M,02:11:50,02:11:50,"00:15:40,00:31:04,00:46:38,01:02:05,01:05:30,01:17:47,01:33:28,01:48:51,02:04:47"
16,Jonathan,Mellor,GBR,26,Liverpool Harriers,M,02:12:29,02:12:29,"00:15:40,00:31:04,00:46:39,01:02:04,01:05:30,01:17:47,01:33:28,01:48:50,02:05:09"
17,Ercan,Arslan,TUR,128,Volt Floyd,M,02:12:41,02:12:41,"00:15:40,00:31:04,00:46:40,01:02:06,01:05:30,01:17:46,01:33:28,01:49:03,02:05:28"
18,Getaye Fisseha,Gelaw,ETH,36,Äthiopien,M,02:13:19,02:13:19,"00:14:25,00:29:32,00:44:27,01:00:04,01:03:34,01:16:05,01:32:02,01:48:14,02:05:38"
19,Haron,Lagat,USA,143,,M,02:13:22,02:13:22,"00:15:22,00:30:53,00:46:36,01:02:05,01:05:30,01:17:49,01:33:30,01:49:17,02:05:57"
20,Edwin,De Vries,NED,126,,M,02:13:38,02:13:38,"00:15:58,00:31:39,00:47:30,01:03:32,01:07:00,01:19:32,01:35:25,01:51:07,02:06:51"
21,Kevin,Seaward,IRL,40,St Malachy's AC,M,02:13:39,02:13:39,"00:15:58,00:31:40,00:47:30,01:03:32,01:07:00,01:19:31,01:35:24,01:51:06,02:06:51"
22,Stefano,La Rosa,ITA,65,,M,02:13:48,02:13:48,"00:15:38,00:31:05,00:46:40,01:02:06,01:05:30,01:17:47,01:33:29,01:49:03,02:05:56"
23,Tesfay,Felfele,ERI,149,,M,02:13:51,02:13:51,"00:15:39,00:31:04,00:46:38,01:02:05,01:05:29,01:17:45,01:33:27,01:49:07,02:06:01"
24,Yimer,Getahun,ISR,153,Maccabi Tel-Aviv,M,02:13:53,02:13:53,"00:16:06,00:32:00,00:48:10,01:04:11,01:07:39,01:20:11,01:36:03,01:51:33,02:07:06"
25,Matthew,Clowes,GBR,165,Cardiff AC,M,02:13:57,02:13:57,"00:16:06,00:32:00,00:48:10,01:04:10,01:07:39,01:20:11,01:36:03,01:51:33,02:07:05"
26,Mustapha,El Quartassy,MAR,46,1.VfL Fortuna Marzahn,M,02:14:02,02:14:02,"00:15:57,00:31:41,00:47:29,01:03:32,01:07:00,01:19:31,01:35:24,01:51:06,02:07:08"
27,Yousheng,Guan,CHN,21154,,M,02:14:05,02:14:09,"00:15:19,00:30:41,00:46:14,01:01:47,01:05:14,01:17:36,01:33:40,01:49:58,02:06:41"
28,Valentin,Pfeil,AUT,25,LAC Amateure Steyr,M,02:14:17,02:14:17,"00:15:38,00:31:03,00:46:38,01:02:04,01:05:29,01:17:46,01:33:27,01:49:07,02:06:20"
29,Keisuke,Kusaka,JPN,22,Hitachi TS,M,02:14:27,02:14:27,"00:15:57,00:31:39,00:47:29,01:03:31,01:06:59,01:19:31,01:35:24,01:51:06,02:07:34"
30,Ren Jia,Jia E,CHN,24088,,M,02:14:31,02:14:38,"00:15:31,00:31:00,00:46:33,01:02:01,01:05:24,01:17:43,01:33:54,01:50:35,02:07:29"
31,Emmanuel,Roudolff Levisse,FRA,148,ManagR,M,02:14:32,02:14:32,"00:15:40,00:31:04,00:46:37,01:02:03,01:05:29,01:17:46,01:33:29,01:49:18,02:07:03"
32,Jiri,Homolac,CZE,120,VSK Univerzita Brno,M,02:14:35,02:14:35,"00:15:40,00:31:05,00:46:39,01:02:05,01:05:30,01:17:50,01:33:43,01:50:05,02:07:10"
33,Nick,Peborgh,BEL,41,AC Break,M,02:14:39,02:14:39,"00:15:57,00:31:38,00:47:31,01:03:33,01:07:00,01:19:32,01:35:25,01:51:08,02:07:36"
34,Scott,Overall,GBR,16,Blackheath @ Bromley Harriers ,M,02:14:40,02:14:40,"00:15:57,00:31:39,00:47:29,01:03:30,01:06:59,01:19:30,01:35:25,01:51:08,02:07:33"
35,Justin,Mahieu,BEL,136,DAMP,M,02:14:43,02:14:43,"00:16:06,00:32:00,00:48:12,01:04:12,01:07:39,01:20:17,01:36:22,01:52:10,02:08:02"
36,Gregory,Leak,USA,62,Tacoma City Running Club,M,02:14:44,02:14:44,"00:16:05,00:32:00,00:48:09,01:04:10,01:07:39,01:20:15,01:36:02,01:51:41,02:07:50"
38,Rene Eduardo,Ortiz Morales,MEX,31821,Rioverde SLP,M,02:14:54,02:14:59,"00:15:53,00:31:35,00:47:25,01:03:27,01:06:55,01:19:27,01:35:20,01:51:02,02:07:32"
37,Jens,Nerkamp,GER,124,LaufTeam Kassel ,M,02:14:54,02:14:54,"00:16:05,00:31:59,00:48:09,01:04:09,01:07:39,01:20:15,01:36:02,01:51:37,02:07:50"
39,Melkam,Jamber,ISR,127,Athletic Oren Hasharon,M,02:14:58,02:14:58,"00:15:23,00:31:05,00:46:39,01:02:07,01:05:30,01:17:51,01:34:03,01:50:39,02:07:37"
40,Kennedy,Naibei,KEN,12,Kenia,M,02:15:00,02:15:00,"00:14:44,00:29:32,00:45:05,01:01:18,01:04:52,01:17:34,01:32:57,01:49:02,02:06:53"
41,Suolang,Cairen,CHN,54,China,M,02:15:03,02:15:03,"00:15:23,00:30:45,00:46:20,01:01:51,01:05:19,01:17:34,01:33:28,01:49:32,02:07:04"
42,William,Nation,USA,63,USA,M,02:15:12,02:15:12,"00:16:06,00:32:02,00:48:15,01:04:13,01:07:40,01:20:19,01:36:12,01:52:03,02:08:10"
43,Yang,Le,CHN,37,China,M,02:15:27,02:15:27,"00:15:23,00:30:45,00:46:21,01:01:52,01:05:20,01:17:34,01:33:18,01:49:42,02:07:22"
44,Agaz,Guadi,ISR,138,Hapole Emike Hphire,M,02:15:46,02:15:46,"00:15:40,00:31:11,00:47:15,01:03:10,01:06:38,01:19:23,01:35:26,01:51:31,02:08:19"
45,Jonathan,Thewlis,GBR,132,Notts AC,M,02:15:52,02:15:52,"00:16:06,00:32:00,00:48:10,01:04:10,01:07:39,01:20:15,01:36:22,01:52:27,02:08:43"
46,Ignas,Brasevicius,LTU,142,Million Steps,M,02:15:53,02:15:53,"00:16:06,00:32:01,00:48:10,01:04:10,01:07:39,01:20:16,01:36:22,01:52:27,02:08:51"
47,Kwang,Shin,KOR,27,Korea,M,02:15:59,02:15:59,"00:15:24,00:30:45,00:46:20,01:01:52,01:05:19,01:17:49,01:34:25,01:51:14,02:08:40"
48,Shogo,Kanezane,JPN,13,Japan,M,02:16:08,02:16:08,"00:15:23,00:30:45,00:46:20,01:01:52,01:05:20,01:17:52,01:34:24,01:51:08,02:08:35"
49,Simon,Stützel,GER,129,LG Region Karlsruhe,M,02:16:09,02:16:09,"00:16:05,00:32:00,00:48:10,01:04:11,01:07:39,01:20:16,01:36:23,01:52:28,02:09:03"
50,Adrian,Lehmann,SUI,43,LV Langenthal,M,02:16:10,02:16:10,"00:16:07,00:32:06,00:48:14,01:04:12,01:07:41,01:20:17,01:36:22,01:52:27,02:08:59"
51,Andreas,Myhre Sjurseth,NOR,123,SK Vidar,M,02:16:37,02:16:37,"00:16:06,00:32:01,00:48:13,01:04:12,01:07:40,01:20:19,01:36:47,01:53:10,02:09:40"
52,Adam,Hickey,GBR,147,Southend Atletics Club,M,02:16:56,02:16:56,"00:16:06,00:32:01,00:48:13,01:04:12,01:07:41,01:20:17,01:36:24,01:52:27,02:09:16"
